objectid,parentid,format,filename,identifier,title,type,creator,contributor,description,date,subject
MBE110,,multiple,,N7433.4.T44 M66 2008,MiniScapes : an adventure in Anaglyph 3-D,Book,"Timm, Jill.",[N/A],"Wenatchee, WA : Mystical Places Press; 1 v. (unpaged) : illustrations : 51 x 77 mm; 3-D photos to be viewed with the accompanying red-blue paper glasses. MiniScapes has an introduction that tells a bit about Anaglyph 3-D (red/blue), and includes five scenic images. Pocket pages allow the photos to be removed for easier viewing.",2008,Artists' books--Specimens; Miniature books--Specimens
MBE111,MBE110,image/jpeg,N7433.4.T44M66 2008-001.jpg,,,,,,,,
MBE112,MBE110,image/jpeg,N7433.4.T44M66 2008-002.jpg,,,,,,,,
MBE113,MBE110,image/jpeg,N7433.4.T44M66 2008-003.jpg,,,,,,,,
MBE114,,multiple,,PZ34.3.V87 D42,Der Karneval der Tiere,Book,"Vogel, Antje.","Schneider, Ulla. Adomeit, Ruth E., former owner.","Münster : F. Coppenrath; [30] p., [1] p. of leaves : col. ill. : 18 cm.; A carnival of animals, ranging from a lion to a school of fish, are presented by a parrot, who acts as master of ceremonies. At the end, the true carnival participants are revealed--a group of children in animal costumes. Miniature book in original grey illustrated wrappers, mounted to colored illustrated board.",1984,Stories in rhyme; Toy and movable books--Specimens; Miniature books--Specimens
MBE115,MBE114,image/jpeg,PZ34.3.V87D42-001.jpg,,,,,,,,
MBE116,MBE114,image/jpeg,PZ34.3.V87D42-002.jpg,,,,,,,,
MBE117,,multiple,,QL543.K58 B91 2013,Butterfly royality,Book,"Klinger, Loraine.",Miniature Book Society former owner. InU,"[Santa Fe, New Mexico : Loraine Klinger]; 1 v. (unpaged) : col. ill. : 64 mm (70 mm in box).; ""The book describes the life-cycle of the Monarch butterfly. The 44 circular pages reinforce the concept of cycles. Each page carries on one side a colored pencil drawing by the author of one stage of the Monarch's developement, and on the other sides facts about the butterfly. The book consists of 44 circular sheets of card-stock, glued together as an accordion fold, enclosed in a cylindrical box."" -- MBS 2013 exhibition catalog.",[2013],Artists' books--Specimens; Monarch butterfly; Monarch butterfly--Migration; Miniature books--Specimens
MBE118,MBE117,image/jpeg,QL543.K58B912013-001.jpg,,,,,,,,
MBE119,MBE117,image/jpeg,QL543.K58B912013-002.jpg,,,,,,,,
MBE120,MBE117,image/jpeg,QL543.K58B912013-003.jpg,,,,,,,,
MBE121,MBE117,image/jpeg,QL543.K58B912013-004.jpg,,,,,,,,

MBE122,MBE117,image/jpeg,QL543.K58B912013-005.jpg,,,,,,,,
